stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
mytown-0228_01,,大山,,39.639851,140.065357,mytown-0228_01,,0,,
mytown-0228_02,,大山,,39.640679,140.065668,mytown-0228_02,,0,,
mytown-0229_01,,長浜,,39.628778,140.065193,mytown-0229_01,,0,,
mytown-0229_02,,長浜,,39.629469,140.065473,mytown-0229_02,,0,,
mytown-0230_01,,本敬寺前,,39.627074,140.064888,mytown-0230_01,,0,,
mytown-0230_02,,本敬寺前,,39.626571,140.064945,mytown-0230_02,,0,,
mytown-0231_01,,高安森,,39.623946,140.064431,mytown-0231_01,,0,,
mytown-0231_02,,高安森,,39.624006,140.064576,mytown-0231_02,,0,,
mytown-0232_01,,下浜駅前,,39.618306,140.063972,mytown-0232_01,,0,,
mytown-0232_02,,下浜駅前,,39.618585,140.064141,mytown-0232_02,,0,,
mytown-0233_01,,下浜小学校前,,39.613568,140.064557,mytown-0233_01,,0,,
mytown-0233_02,,下浜小学校前,,39.614521,140.064519,mytown-0233_02,,0,,
mytown-0234_01,,陽光台,,39.610841,140.071184,mytown-0234_01,,0,,
mytown-0235_01,,羽川保育所前,,39.610668,140.065374,mytown-0235_01,,0,,
mytown-0235_02,,羽川保育所前,,39.610516,140.065534,mytown-0235_02,,0,,
mytown-0236_01,,古堂,,39.607346,140.069121,mytown-0236_01,,0,,
mytown-0236_02,,古堂,,39.60741,140.069153,mytown-0236_02,,0,,
mytown-0237_01,,妙見神社前,,39.606022,140.072024,mytown-0237_01,,0,,
mytown-0237_02,,妙見神社前,,39.606158,140.071986,mytown-0237_02,,0,,
mytown-0238_01,,羽川公民館前,,39.605676,140.073624,mytown-0238_01,,0,,
mytown-0238_02,,羽川公民館前,,39.605761,140.073522,mytown-0238_02,,0,,
